"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","view_history","rt","block_number","trial_number","run_number","task","stimulus","response","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","526","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","562","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","20179","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","",""
"instructions","3","53946","0.0-3.0-0.0","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":33766}]","33766","1","0","1","people","","","","","","","","","","","","","",""
"html-button-response","4","57095","0.0-3.0-1.0-0.0","","","","","","","trial_start","","3148","1","0","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","5","57347","0.0-3.0-1.0-1.0","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","6","58349","0.0-3.0-1.0-2.0","","","","","","","main_trial","","null","1","0","1","people","./stimuli/wedding_ambiguous_nointeraction.jpg","null","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","7","61736","0.0-3.0-1.0-0.1","","","","","","","trial_start","","3387","1","1","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","8","61763","0.0-3.0-1.0-1.1","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","9","62764","0.0-3.0-1.0-2.1","","","","","","","main_trial","","null","1","1","1","people","./stimuli/hospital_positive_interaction.jpg","null","./stimuli/hospital_positive_interaction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","10","210332","0.0-3.0-1.0-3.1-0.1","","","","","","","break","[{""page_index"":0,""viewing_time"":147568}]","147568","2","2","1","people","","","","","","","","","","","","","",""
"html-button-response","11","213215","0.0-3.0-1.0-0.2","","","","","","","trial_start","","2882","2","2","1","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","12","213417","0.0-3.0-1.0-1.2","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","13","214420","0.0-3.0-1.0-2.2","","","","","","","main_trial","","null","2","2","1","people","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":980,""y"":789,""t"":504,""event"":""mousemove""},{""x"":986,""y"":778,""t"":509,""event"":""mousemove""},{""x"":993,""y"":771,""t"":523,""event"":""mousemove""},{""x"":1013,""y"":740,""t"":539,""event"":""mousemove""},{""x"":1037,""y"":714,""t"":556,""event"":""mousemove""},{""x"":1050,""y"":694,""t"":573,""event"":""mousemove""},{""x"":1060,""y"":680,""t"":589,""event"":""mousemove""},{""x"":1062,""y"":674,""t"":606,""event"":""mousemove""},{""x"":1069,""y"":666,""t"":623,""event"":""mousemove""},{""x"":1083,""y"":639,""t"":639,""event"":""mousemove""},{""x"":1107,""y"":601,""t"":656,""event"":""mousemove""},{""x"":1128,""y"":575,""t"":673,""event"":""mousemove""},{""x"":1149,""y"":545,""t"":690,""event"":""mousemove""},{""x"":1211,""y"":500,""t"":706,""event"":""mousemove""},{""x"":1248,""y"":463,""t"":723,""event"":""mousemove""},{""x"":1313,""y"":417,""t"":739,""event"":""mousemove""},{""x"":1357,""y"":385,""t"":756,""event"":""mousemove""},{""x"":1389,""y"":362,""t"":773,""event"":""mousemove""},{""x"":1401,""y"":352,""t"":789,""event"":""mousemove""},{""x"":1410,""y"":344,""t"":806,""event"":""mousemove""},{""x"":1420,""y"":337,""t"":823,""event"":""mousemove""},{""x"":1421,""y"":336,""t"":840,""event"":""mousemove""},{""x"":1421,""y"":338,""t"":890,""event"":""mousemove""},{""x"":1409,""y"":354,""t"":906,""event"":""mousemove""},{""x"":1357,""y"":390,""t"":923,""event"":""mousemove""},{""x"":1339,""y"":399,""t"":940,""event"":""mousemove""},{""x"":1287,""y"":414,""t"":956,""event"":""mousemove""},{""x"":1266,""y"":418,""t"":973,""event"":""mousemove""},{""x"":1168,""y"":427,""t"":990,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","14","221408","0.0-3.0-1.0-4.2-0.2","","","","","","","last_break","[{""page_index"":0,""viewing_time"":6988}]","6988","3","3","1","people","","","","","","","","","","","","","",""
"instructions","15","230575","0.0-3.0-0.1","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":9166}]","9166","3","0","2","global","","","","","","","","","","","","","",""
"html-button-response","16","232430","0.0-3.0-1.1-0.3","","","","","","","trial_start","","1854","3","0","2","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","17","232631","0.0-3.0-1.1-1.3","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","18","233632","0.0-3.0-1.1-2.3","","","","","","","main_trial","","null","3","0","2","global","./stimuli/hospital_positive_interaction.jpg","null","./stimuli/hospital_positive_interaction.jpg","","","","[{""x"":1005,""y"":784,""t"":898,""event"":""mousemove""},{""x"":1080,""y"":744,""t"":914,""event"":""mousemove""},{""x"":1178,""y"":679,""t"":930,""event"":""mousemove""},{""x"":1209,""y"":666,""t"":947,""event"":""mousemove""},{""x"":1310,""y"":600,""t"":964,""event"":""mousemove""},{""x"":1354,""y"":568,""t"":980,""event"":""mousemove""},{""x"":1379,""y"":559,""t"":997,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","19","235235","0.0-3.0-1.1-0.4","","","","","","","trial_start","","1602","3","1","2","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","20","235486","0.0-3.0-1.1-1.4","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","21","236487","0.0-3.0-1.1-2.4","","","","","","","main_trial","","null","3","1","2","global","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":950,""y"":792,""t"":792,""event"":""mousemove""},{""x"":932,""y"":784,""t"":798,""event"":""mousemove""},{""x"":919,""y"":779,""t"":812,""event"":""mousemove""},{""x"":830,""y"":736,""t"":828,""event"":""mousemove""},{""x"":771,""y"":669,""t"":845,""event"":""mousemove""},{""x"":700,""y"":602,""t"":862,""event"":""mousemove""},{""x"":658,""y"":551,""t"":879,""event"":""mousemove""},{""x"":587,""y"":465,""t"":895,""event"":""mousemove""},{""x"":568,""y"":439,""t"":912,""event"":""mousemove""},{""x"":526,""y"":372,""t"":928,""event"":""mousemove""},{""x"":509,""y"":338,""t"":945,""event"":""mousemove""},{""x"":499,""y"":303,""t"":962,""event"":""mousemove""},{""x"":496,""y"":293,""t"":979,""event"":""mousemove""},{""x"":493,""y"":289,""t"":995,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","22","238892","0.0-3.0-1.1-3.4-0.4","","","","","","","break","[{""page_index"":0,""viewing_time"":2404}]","2405","4","2","2","global","","","","","","","","","","","","","",""
