"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","439","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","446","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","32787","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","51474","0.0-3.0","","","","","","","demographics_survey","18661","{""MouseSelection"":""Mouse"",""age"":""36"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","99793","0.0-4.0","","","","","","","instructions","48318","","","[{""page_index"":0,""viewing_time"":29097},{""page_index"":1,""viewing_time"":6354},{""page_index"":2,""viewing_time"":10842},{""page_index"":3,""viewing_time"":2025}]","","","","","","","","","","","","","","","","",""
"instructions","5","113138","0.0-5.0-0.0","","","","","","","run_instructions","13345","","","[{""page_index"":0,""viewing_time"":13345}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","116584","0.0-5.0-1.0-0.0","","","","","","","trial_start","3445","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","116610","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","117812","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/beach_ambiguous_interaction.jpg","./stimuli/beach_ambiguous_interaction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","9","119876","0.0-5.0-1.0-0.1","","","","","","","trial_start","2063","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","120002","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","11","121204","0.0-5.0-1.0-2.1","","","","","","","main_trial","null","null","","","1","1","1","Whole Image","./stimuli/hospital_negative_interaction.jpg","./stimuli/hospital_negative_interaction.jpg","","","","[{""x"":988,""y"":793,""t"":559,""event"":""mousemove""},{""x"":996,""y"":784,""t"":566,""event"":""mousemove""},{""x"":1025,""y"":759,""t"":582,""event"":""mousemove""},{""x"":1066,""y"":729,""t"":601,""event"":""mousemove""},{""x"":1137,""y"":658,""t"":616,""event"":""mousemove""},{""x"":1174,""y"":632,""t"":633,""event"":""mousemove""},{""x"":1210,""y"":585,""t"":650,""event"":""mousemove""},{""x"":1265,""y"":543,""t"":666,""event"":""mousemove""},{""x"":1277,""y"":528,""t"":683,""event"":""mousemove""},{""x"":1289,""y"":511,""t"":699,""event"":""mousemove""},{""x"":1307,""y"":494,""t"":716,""event"":""mousemove""},{""x"":1324,""y"":482,""t"":733,""event"":""mousemove""},{""x"":1339,""y"":474,""t"":750,""event"":""mousemove""},{""x"":1373,""y"":445,""t"":766,""event"":""mousemove""},{""x"":1404,""y"":425,""t"":783,""event"":""mousemove""},{""x"":1423,""y"":411,""t"":801,""event"":""mousemove""},{""x"":1441,""y"":394,""t"":816,""event"":""mousemove""},{""x"":1458,""y"":376,""t"":833,""event"":""mousemove""},{""x"":1472,""y"":360,""t"":850,""event"":""mousemove""},{""x"":1483,""y"":348,""t"":866,""event"":""mousemove""},{""x"":1488,""y"":342,""t"":883,""event"":""mousemove""},{""x"":1492,""y"":335,""t"":900,""event"":""mousemove""},{""x"":1495,""y"":329,""t"":916,""event"":""mousemove""},{""x"":1495,""y"":328,""t"":933,""event"":""mousemove""},{""x"":1495,""y"":327,""t"":983,""event"":""mousemove""},{""x"":1496,""y"":326,""t"":1017,""event"":""mousemove""},{""x"":1496,""y"":324,""t"":1075,""event"":""mousemove""},{""x"":1496,""y"":323,""t"":1118,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","12","123159","0.0-5.0-1.0-0.2","","","","","","","trial_start","1954","0","","","1","2","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","13","123211","0.0-5.0-1.0-1.2","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
