"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","584","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1039","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","4144","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","26452","0.0-3.0","","","","","","","demographics_survey","22256","{""MouseSelection"":""Mouse"",""age"":""20"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","33634","0.0-4.0","","","","","","","instructions","7181","","","[{""page_index"":0,""viewing_time"":2366},{""page_index"":1,""viewing_time"":1728},{""page_index"":2,""viewing_time"":1460},{""page_index"":3,""viewing_time"":1627}]","","","","","","","","","","","","","","","","",""
"instructions","5","41650","0.0-5.0-0.0","","","","","","","run_instructions","8015","","","[{""page_index"":0,""viewing_time"":8015}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","43685","0.0-5.0-1.0-0.0","","","","","","","trial_start","2034","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","43713","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","44915","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/beach_ambiguous_interaction.jpg","./stimuli/beach_ambiguous_interaction.jpg","","","","[{""x"":941,""y"":767,""t"":843,""event"":""mousemove""},{""x"":844,""y"":702,""t"":860,""event"":""mousemove""},{""x"":754,""y"":628,""t"":876,""event"":""mousemove""},{""x"":731,""y"":611,""t"":893,""event"":""mousemove""},{""x"":665,""y"":563,""t"":911,""event"":""mousemove""},{""x"":629,""y"":532,""t"":926,""event"":""mousemove""},{""x"":572,""y"":473,""t"":943,""event"":""mousemove""},{""x"":549,""y"":440,""t"":960,""event"":""mousemove""},{""x"":528,""y"":383,""t"":977,""event"":""mousemove""},{""x"":523,""y"":367,""t"":993,""event"":""mousemove""},{""x"":522,""y"":360,""t"":1010,""event"":""mousemove""},{""x"":518,""y"":352,""t"":1027,""event"":""mousemove""},{""x"":513,""y"":344,""t"":1044,""event"":""mousemove""},{""x"":505,""y"":335,""t"":1061,""event"":""mousemove""},{""x"":491,""y"":323,""t"":1078,""event"":""mousemove""},{""x"":488,""y"":320,""t"":1093,""event"":""mousemove""},{""x"":486,""y"":318,""t"":1111,""event"":""mousemove""},{""x"":483,""y"":316,""t"":1127,""event"":""mousemove""},{""x"":481,""y"":315,""t"":1144,""event"":""mousemove""},{""x"":480,""y"":314,""t"":1160,""event"":""mousemove""},{""x"":480,""y"":313,""t"":1186,""event"":""mousemove""},{""x"":479,""y"":313,""t"":1195,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","9","46566","0.0-5.0-1.0-0.1","","","","","","","trial_start","1649","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","46793","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
